Population,a0,a1,b0,b1,c0,c1,d0,d1,e0,e1,f0,f1,g0,g1,h0,h1,i0,i1,j0,j1,k0,k1,l0,l1
LU41,72,72,81,87,100,100,130,130,0,0,120,120,120,120,141,141,154,158,180,180,232,232,259,259
LU42,72,72,81,81,100,100,0,0,0,0,120,120,122,122,141,141,154,158,180,180,232,232,259,259
LU44,72,72,81,81,100,100,0,0,0,0,120,120,122,122,141,141,158,158,180,180,232,232,259,259
Pop,,,,,,,,,,,,,,,,,,,,,,,,
ES02,72,72,91,91,100,101,112,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,0,0
ES05,72,72,91,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,0,0,250,256
ES06,72,72,81,91,100,100,112,114,0,0,120,120,120,122,141,141,187,189,180,180,232,232,250,250
ES07,72,72,81,91,100,100,112,114,0,0,120,120,122,122,141,141,187,189,180,180,0,0,253,259
ES10,72,72,81,91,100,100,114,114,0,0,120,120,120,122,141,141,158,187,180,180,0,0,250,250
ES11,72,72,81,91,100,100,114,114,116,116,120,120,122,122,141,141,187,187,180,180,232,232,250,259
ES12,72,72,81,91,100,100,114,114,0,0,120,120,120,122,141,141,187,187,180,180,0,0,250,256
ES13,72,72,91,91,100,100,112,114,0,0,120,120,122,124,141,141,187,187,180,180,232,232,250,253
ES15,72,72,93,93,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,0,0,250,250
ES16,72,72,81,91,100,100,114,114,0,0,120,120,120,122,141,141,187,187,180,180,232,232,253,256
ES17,72,72,81,91,100,100,108,108,120,120,120,120,120,122,141,141,187,187,180,180,0,0,250,256
ES22,72,72,91,91,100,100,0,0,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,253
ES24,72,72,91,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,0,0,250,259
ES25,72,72,91,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,0,0,250,259
ES26,72,72,81,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,0,0,250,250
ES27,72,72,81,91,100,100,114,114,120,120,120,120,122,122,141,141,187,187,180,180,232,232,0,0
ES28,72,72,91,91,100,100,112,114,0,0,120,120,122,122,141,141,187,187,180,180,0,0,250,250
ES30,72,72,81,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,259
ES32,72,72,81,81,100,100,112,114,0,0,120,120,120,122,141,141,187,187,174,180,232,232,250,250
ES33,72,72,81,81,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,259
ES34,72,72,81,93,100,100,114,114,0,0,120,120,120,122,141,141,187,187,180,180,232,232,256,259
Pop,,,,,,,,,,,,,,,,,,,,,,,,
SJ01,72,72,85,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,174,180,232,232,250,250
SJ02,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ03,72,72,85,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,174,180,232,232,250,250
SJ04,72,72,85,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,174,180,232,232,250,250
SJ05,72,72,81,85,100,100,114,114,116,120,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ06,72,72,85,85,100,100,110,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,250
SJ07,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ08,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ09,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ10,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ11,72,72,85,91,100,100,114,114,120,120,120,120,122,122,141,141,187,187,174,180,232,232,250,250
SJ12,72,72,85,91,100,100,110,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
SJ13,72,72,81,85,100,100,0,0,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
